C:\Pesquisadores\TreinoCognitivo\EEG\edf\BAC-11-1.edf	Taxa de amostragem	200
C:\Pesquisadores\TreinoCognitivo\EEG\edf\BAC-11-1.edf	Começo da gravação	2016-06-01T00:44:59Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\BAC-11-1.edf	   	2016-06-01T00:44:58Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\BAC-11-1.edf	   	2016-06-01T00:44:58Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\BAC-11-1.edf	   	2016-06-01T00:44:58Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\BAC-11-1.edf	   	2016-06-01T00:44:58Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\BAC-11-1.edf	 BACKGROUND TEST  	2016-06-01T00:44:58Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\BAC-11-1.edf	 Linha de base  	2016-06-01T00:45:08Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\BAC-11-1.edf	 Linha de base  	2016-06-01T00:48:08Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\BAC-11-1.edf	 Linha de base  	2016-06-01T00:59:29Z
C:\Pesquisadores\TreinoCognitivo\EEG\edf\BAC-11-1.edf	 Linha de base  	2016-06-01T01:02:38Z
