HCT-elder-pre-4-23.txt	SST-elder-4-1.txt	sst-1-1.txt	sst-2-1.txt	sst-3-1.txt	sst-4-1.txt	
83.291	520.201	163.197	115.864	193.933	64.118	
86.758	523.703	165.687	118.905	196.590	66.725	
90.076	527.287	168.060	121.946	199.013	69.148	
93.394	530.555	170.549	124.687	201.369	71.638	
97.129	533.656	173.089	127.528	203.875	74.178	
100.513	536.741	175.663	130.268	206.315	76.768	
103.698	540.008	178.153	133.310	208.671	79.409	
107.432	543.743	181.194	136.067	211.111	81.882	
110.784	547.061	183.868	138.824	213.568	84.405	
114.268	550.796	186.475	141.865	215.974	86.978	
117.719	554.047	188.898	144.756	218.347	89.518	
121.454	557.431	191.388	147.798	220.887	92.075	
124.839	560.699	193.844	150.839	223.928	94.699	
128.573	563.983	196.267	153.513	226.685	97.255	
131.874	567.301	198.673	156.554	229.276	99.979	
135.292	570.486	201.715	159.161	232.150	102.620	
138.777	574.221	204.071	161.868	235.191	105.360	
142.512	577.605	206.461	164.642	238.015	108.084	
145.829	580.973	208.783	167.683	240.940	110.691	
149.147	584.174	211.223	170.257	243.981	113.465	
152.565	587.725	213.746	172.931	246.905	116.055	
155.883	591.293	216.253	175.972	249.913	119.096	
159.618	594.861	218.860	179.013	252.955	122.138	
162.985	598.596	221.316	181.486	255.378	124.661	
166.320	601.914	223.907	183.993	258.419	127.519	
169.654	605.498	226.430	186.750	261.310	130.393	
173.389	609.233	228.903	189.725	264.067	133.133	
176.707	612.534	231.476	192.348	267.109	135.907	
179.991	615.802	234.100	194.922	269.598	138.949	
183.409	619.053	236.590	197.445	272.038	141.522	
186.861	622.437	239.063	200.486	274.729	144.563	
190.295	625.889	241.553	203.327	277.319	147.103	
193.630	629.623	243.909	206.369	280.009	149.911	
196.947	632.908	246.382	208.892	282.516	152.852	
200.249	636.226	249.457	211.516	284.989	155.810	
203.633	639.560	251.813	214.557	287.629	158.818	
207.368	643.295	254.855	217.164	290.136	161.859	
210.719	646.696	257.261	219.904	292.642	164.900	
214.003	650.431	259.885	222.946	295.684	167.557	
217.738	653.915	262.391	225.552	298.324	169.997	
221.056	657.350	264.831	228.594	301.332	172.353	
224.440	660.718	267.438	231.234	303.788	175.261	
227.808	664.136	270.011	233.841	306.262	178.118	
231.109	667.470	272.618	236.882	308.685	181.160	
234.477	670.771	275.208	239.439	311.375	183.934	
237.845	674.506	277.732	242.129	313.781	186.758	
241.146	677.857	280.305	245.171	316.321	189.281	
244.881	681.592	282.912	247.711	318.728	191.988	
248.282	685.110	285.953	250.752	321.151	194.862	
252.017	688.627	288.426	253.259	323.474	197.804	
255.385	692.362	290.883	256.300	325.947	200.778	
258.853	695.747	293.423	258.773	328.420	203.385	
262.587	699.331	295.896	261.815	331.144	206.309	
265.988	702.582	298.503	264.472	333.968	209.351	
269.373	706.084	301.210	267.513	337.009	212.392	
272.824	709.552	303.767	270.554	339.566	215.366	
276.242	712.886	306.206	273.028	342.139	218.291	
279.977	716.471	308.730	275.969	345.181	221.065	
283.711	720.055	311.153	279.010	347.721	224.106	
287.079	723.390	313.726	281.684	350.194	227.147	
290.580	726.924	316.216	284.725	353.135	229.888	
294.032	730.476	318.890	287.566	355.708	232.578	
297.400	734.210	321.313	290.239	358.215	235.469	
300.817	737.678	323.920	293.247	360.705	238.394	
304.252	741.413	326.426	295.904	363.161	241.335	
307.620	744.947	328.933	298.461	365.902	244.159	
311.354	748.682	331.523	301.101	368.943	246.799	
